DATE,NYGDPPCAPKDUSA
1960-01-01,18991.5446025928
1961-01-01,19108.9353645939
1962-01-01,19965.1435753955
1963-01-01,20545.7842453942
1964-01-01,21437.5840704395
1965-01-01,22526.2055148551
1966-01-01,23714.9390278431
1967-01-01,24044.565127902
1968-01-01,24948.3568987924
1969-01-01,25471.6161786519
1970-01-01,25231.1271579892
1971-01-01,25734.4828350051
1972-01-01,26798.5336071197
1973-01-01,28042.5519161527
1974-01-01,27637.2997746126
1975-01-01,27309.8688169354
1976-01-01,28509.1430550141
1977-01-01,29528.9663683544
1978-01-01,30834.9992317542
1979-01-01,31462.1003887938
1980-01-01,31081.6216349433
1981-01-01,31559.1293394228
1982-01-01,30696.0834354928
1983-01-01,31810.921609807
1984-01-01,33818.8235513622
1985-01-01,34918.1302012407
1986-01-01,35794.8877746915
1987-01-01,36701.9453875331
1988-01-01,37889.3773471466
1989-01-01,38911.5418950729
1990-01-01,39200.0658112434
1991-01-01,38637.8398140572
1992-01-01,39447.9472855283
1993-01-01,40002.4762252856
1994-01-01,41106.988184368
1995-01-01,41710.8207249566
1996-01-01,42783.8165697826
1997-01-01,44151.6860414367
1998-01-01,45596.4306843475
1999-01-01,47234.2455275229
2000-01-01,48616.25462578
2001-01-01,48597.4246142005
2002-01-01,48967.3661201159
2003-01-01,49905.5233074237
2004-01-01,51348.3473376223
2005-01-01,52649.5713054684
2006-01-01,53596.3152372
2007-01-01,54152.8292651299
2008-01-01,53703.9628961267
2009-01-01,51863.6183411923
2010-01-01,52821.4047643404
2011-01-01,53259.2552138539
2012-01-01,54080.2286497215
2013-01-01,54844.2425797154
2014-01-01,55817.5632471958
2015-01-01,57040.2082136605
2016-01-01,57658.6708825722
2017-01-01,58703.1440782154
2018-01-01,60127.2102775233
2019-01-01,61330.6459767318
2020-01-01,59394.778327105
2021-01-01,62741.0018131151
2022-01-01,63720.7641611959
2023-01-01,65020.3529285737
